,group,Movie,Original group
247,Drama,Before Sunrise,Drama
248,Drama,Papillon,Biography
249,Horror,The Mist,Horror
250,Drama,Saw,Horror
251,Drama,The Birds,Drama
252,Action,Dawn of the Dead,Action
253,Drama,28 Days Later,Drama
254,Drama,Scream,Horror
255,Horror,Alien,Horror
256,Adventure,Jaws,Adventure
257,Horror,The Exorcist,Horror
258,Drama,Hereditary ,Drama
259,Horror,It,Horror
260,Horror,The Witch,Horror
261,Horror,The Grudge,Horror
262,Drama,Candyman,Horror
263,Horror,The Ring,Horror
264,Drama,Rosemary's Baby,Drama
265,Horror,Blair Witch Project,Horror
